dt	Mode	pCa	Fext
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
0.001	-2	9	0
